Joueur;Poste;Note;Variation;Buts;%Titu;Min note/but;Club;Victoire probable;%Victoire J+10;%Victoire J+14;%Victoire J+18;Clean sheet;But/Peno;But/Coup-franc;But|Surface;Pass D&but;Occas créée;Tirs;Tirs-1an;Tirs cadrés;Tirs cadrés-1an;Corners gagnés;%Passes;Ballons;Interceptions;Tacles;Duel G/P;Fautes;Buts évités;Actions stoppées;PossDef;PossMid;Centres G/P;Dégagements;Buts concédés;Ballons perdus;Passe>Tir;PassPerfo;Dépossédé;Plonge&Stop;Nb Gagné;Erreur>But;DiffButs;Gross ocaz manquée;Gross ocaz manquée-1an;Balle manquée;Bonus moy;Malus moy;Index MPGStats;Indispo ?
Doukouré;DC;5,5;0,84;0;100;7;Strasbourg;18,29;52,126;51,866;51,603;3;;;;1;1;1;3;;1;1;89,62;426;5;4;74,29;2;;;7;17;50;16;5;47;2;7;3;;2;;6;1;1;5;148,67;-96,67;-6,52;FALSE
Diatta;MO;5,5;1,32;0;33;6;Monaco;77,91;57,518;60,319;59,308;;;;;1;2;1;3;1;2;1;85,19;176;4;1;63,64;2;;;7;9;61,54;7;3;21;6;5;1;;;;1;;1;3;205,67;-150,83;-6,77;FALSE
Zakaria;MD;5,5;0,91;0;100;5;Monaco;77,91;57,518;60,319;59,308;;;;;1;1;;26;;15;;93,13;215;5;3;42,86;4;;;8;9;66,67;2;4;22;4;4;3;;2;;3;;2;4;143,13;-85,62;-8,27;TRUE
Doué;MO;5,5;0,5;0;67;6,5;Paris;81,71;86,587;84,868;85,501;1;;;;;;4;50;1;35;2;90,08;154;2;6;47,22;2;;;1;4;50;;1;31;6;6;7;;3;;5;;6;2;135,3;-65,17;-3,67;FALSE
Sylla;MD;5,5;0,71;0;50;;Lens;71,29;60,74;60,25;60,218;;;;;;;;;;;;90;55;1;5;72,73;2;;;6;2;0;2;1;9;;;;;2;;4;;;;97,5;-41,25;-2,55;FALSE
Mayulu;MO;5,5;0,71;0;50;6,5;Paris;81,71;86,587;84,868;85,501;1;;;;1;1;3;26;3;19;1;88,34;132;;7;53,57;5;;;3;5;60;1;;23;3;3;2;;1;;3;;5;3;90,75;-36,62;-2,15;TRUE
Avom;MO;5,5;1,61;0;86;;Lorient;39,37;38,616;38,894;39,684;2;;;;1;1;5;32;1;18;1;86,93;379;12;8;64,29;5;;;16;14;55,56;2;9;67;9;15;5;;-2;;-7;;;13;208;-137,64;-10,66;FALSE
Katseris;DL;5,5;0,87;0;67;6;Lorient;39,37;38,616;38,894;39,684;1;;;;;1;4;21;3;12;2;56,71;112;5;1;40;2;;;5;5;57,89;2;;20;3;1;1;;-1;;-3;;;3;166,67;-101,33;-6,73;TRUE
de Lange;G;5,5;0;0;100;;Marseille;78,6;66,907;65,096;64,196;1;;;;;;;;;;;NaN;;;;0;;;1;;;0;;;;;;;;1;;4;;;;45;;4,3;FALSE
Penders;G;5,5;1,55;0;100;;Strasbourg;18,29;52,126;51,866;51,603;3;;;;;;;;;;;NaN;;;;0;;10;4;;;0;6;7;;;;;10;2;1;6;;;;106,67;-71,67;-8,75;FALSE
